# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1743854223712000000,1743854283767000000,40321
Indexes.stubs.lookups,1743854223712000000,1743854283767000000,0.0
IndexesFlusher.totalFlushesRetried,1743854223712000000,1743854283767000000,2
Indexes.allKeys.lookupDurationMaxMs,1743854223712000000,1743854283767000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1743854223712000000,1743854283767000000,62
Indexes.allKeys.lookupDurationAvgMs,1743854223712000000,1743854283767000000,0.0
Indexes.stubs.lookupDurationMaxMs,1743854223712000000,1743854283767000000,0.0
Indexes.entries.lookupDurationAvgMs,1743854223712000000,1743854283767000000,0.0
IndexesFlusher.totalFlushes,1743854223712000000,1743854283767000000,60
Indexes.stubs.lookupDuration90PMs,1743854223712000000,1743854283767000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743854223712000000,1743854283767000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743854223712000000,1743854283767000000,0.0
Indexes.allKeys.lookups,1743854223712000000,1743854283767000000,0.0
Indexes.entries.lookupDurationMaxMs,1743854223712000000,1743854283767000000,0.0
Indexes.entries.lookupDuration90PMs,1743854223712000000,1743854283767000000,0.0
Indexes.entries.lookups,1743854223712000000,1743854283767000000,0.0
workspaceModel.initializing.ms,1743854223712000000,1743854283767000000,2
workspaceModel.updates.precise.ms,1743854223712000000,1743854283767000000,37
workspaceModel.update.unloaded.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.updates.count,1743854223712000000,1743854283767000000,4
workspaceModel.updates.ms,1743854223712000000,1743854283767000000,73
workspaceModel.loading.total.ms,1743854223712000000,1743854283767000000,525
workspaceModel.init.bridges.ms,1743854223712000000,1743854283767000000,2
workspaceModel.replace.project.model.ms,1743854223712000000,1743854283767000000,0
workspaceModel.pre.handlers.ms,1743854223712000000,1743854283767000000,0
workspaceModel.check.recursive.update.ms,1743854223712000000,1743854283767000000,0
workspaceModel.loading.from.cache.ms,1743854223712000000,1743854283767000000,482
workspaceModel.collect.changes.ms,1743854223712000000,1743854283767000000,0
workspaceModel.to.snapshot.ms,1743854223712000000,1743854283767000000,1
FileNameCache.queries,1743854223712000000,1743854283767000000,190273
FileNameCache.totalMisses,1743854223712000000,1743854283767000000,2980
jps.global.get.library.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743854223712000000,1743854283767000000,0
workspaceModel.global.updates.count,1743854223712000000,1743854283767000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743854223712000000,1743854283767000000,0
jps.save.changed.project.entities.ms,1743854223712000000,1743854283767000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1743854223712000000,1743854283767000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1743854223712000000,1743854283767000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743854223712000000,1743854283767000000,11
jps.app.storage.content.writer.save.component.ms,1743854223712000000,1743854283767000000,0
jps.global.get.library.by.name.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743854223712000000,1743854283767000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743854223712000000,1743854283767000000,8
workspaceModel.orphan.listener.update.ms,1743854223712000000,1743854283767000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743854223712000000,1743854283767000000,70
jps.save.global.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.sync.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.load.cache.from.file.ms,1743854223712000000,1743854283767000000,467
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743854223712000000,1743854283767000000,1
jps.reload.project.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743854223712000000,1743854283767000000,3
jps.project.serializers.save.ms,1743854223712000000,1743854283767000000,1
jps.load.project.to.empty.storage.ms,1743854223712000000,1743854283767000000,46
workspaceModel.mutableEntityStorage.add.diff.ms,1743854223712000000,1743854283767000000,7
jps.storage.jps.conf.reader.load.component.ms,1743854223712000000,1743854283767000000,7
jps.load.initial.state.ms,1743854223712000000,1743854283767000000,9
jps.artifact.entities.serializer.save.entities.ms,1743854223712000000,1743854283767000000,0
jps.library.entities.serializer.save.entities.ms,1743854223712000000,1743854283767000000,0
jps.apply.loaded.storage.ms,1743854223712000000,1743854283767000000,12
workspaceModel.moduleManagerBridge.newModule.ms,1743854223712000000,1743854283767000000,0
jps.project.serializers.load.ms,1743854223712000000,1743854283767000000,39
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743854223712000000,1743854283767000000,12
workspaceModel.mutableEntityStorage.modify.entity.ms,1743854223712000000,1743854283767000000,5
workspaceModel.global.apply.state.to.project.builder.ms,1743854223712000000,1743854283767000000,0
workspaceModel.moduleBridge.before.changed.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743854223712000000,1743854283767000000,0
jps.global.handle.before.change.events.ms,1743854223712000000,1743854283767000000,0
jps.facet.change.listener.process.change.events.ms,1743854223712000000,1743854283767000000,0
jps.global.initialize.library.bridges.ms,1743854223712000000,1743854283767000000,1
jps.library.entities.serializer.load.entities.ms,1743854223712000000,1743854283767000000,0
jps.global.get.libraries.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743854223712000000,1743854283767000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.global.apply.state.to.project.ms,1743854223712000000,1743854283767000000,35
workspaceModel.save.cache.to.file.ms,1743854223712000000,1743854283767000000,77
jps.artifact.entities.serializer.load.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743854223712000000,1743854283767000000,669
jps.module.iml.entities.serializer.save.entities.ms,1743854223712000000,1743854283767000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743854223712000000,1743854283767000000,51
workspaceModel.moduleManagerBridge.load.module.ms,1743854223712000000,1743854283767000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743854223712000000,1743854283767000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743854223712000000,1743854283767000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1743854223712000000,1743854283767000000,62
jps.global.handle.changed.events.ms,1743854223712000000,1743854283767000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743854223712000000,1743854283767000000,0
jps.facet.change.listener.before.change.events.ms,1743854223712000000,1743854283767000000,0
jps.app.storage.content.reader.load.component.ms,1743854223712000000,1743854283767000000,0
workspaceModel.global.updates.ms,1743854223712000000,1743854283767000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743854223712000000,1743854283767000000,0
jps.facet.change.listener.init.bridge.ms,1743854223712000000,1743854283767000000,0
jps.module.iml.entities.serializer.load.entities.ms,1743854223712000000,1743854283767000000,18
workspaceModel.moduleBridge.update.option.ms,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalBytesRead,1743854223712000000,1743854283767000000,12895
DirectByteBufferAllocator.reclaimed,1743854223712000000,1743854283767000000,3
StorageLockContext.competingThreads.90P,1743854223712000000,1743854283767000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743854223712000000,1743854283767000000,229679104
FilePageCacheLockFree.housekeeperTimeSpentMs,1743854223712000000,1743854283767000000,153
StreamlinedBlobStorage.recordsDeleted,1743854223712000000,1743854283767000000,7
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743854223712000000,1743854283767000000,0
FilePageCache.capacityInBytes,1743854223712000000,1743854283767000000,503316478
FilePageCacheLockFree.nativeBytesInUse,1743854223712000000,1743854283767000000,24576
FilePageCache.uncachedFileAccess,1743854223712000000,1743854283767000000,125
FilePageCache.pageLoadsAboveSizeThreshold,1743854223712000000,1743854283767000000,0
StreamlinedBlobStorage.recordsRelocated,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalPagesRequested,1743854223712000000,1743854283767000000,65
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1743854223712000000,1743854283767000000,1169495
MappedFileStorage.totalBytesMapped,1743854223712000000,1743854283767000000,136314880
FilePageCache.pageFastCacheHits,1743854223712000000,1743854283767000000,5851
FilePageCacheLockFree.totalHeapBytesReclaimed,1743854223712000000,1743854283767000000,0
FilePageCache.pageLoads,1743854223712000000,1743854283767000000,224
FilePageCacheLockFree.totalPagesReadMs,1743854223712000000,1743854283767000000,4
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1743854223712000000,1743854283767000000,1638841
FilePageCacheLockFree.totalPageAllocationsWaited,1743854223712000000,1743854283767000000,0
StorageLockContext.competingThreads.max,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalPagesAllocated,1743854223712000000,1743854283767000000,3
FilePageCache.maxCacheSizeInBytes,1743854223712000000,1743854283767000000,229654528
FilePageCache.totalPageLoadsUs,1743854223712000000,1743854283767000000,178166
MappedFileStorage.totalPagesMapped,1743854223712000000,1743854283767000000,15
FilePageCache.totalPageDisposalsUs,1743854223712000000,1743854283767000000,789
DirectByteBufferAllocator.disposed,1743854223712000000,1743854283767000000,0
MappedFileStorage.storages,1743854223712000000,1743854283767000000,15
FilePageCache.disposedBuffers,1743854223712000000,1743854283767000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1743854223712000000,1743854283767000000,118
FilePageCacheLockFree.heapBytesInUse,1743854223712000000,1743854283767000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalPagesWriteMs,1743854223712000000,1743854283767000000,0
StorageLockContext.competingThreads.avg,1743854223712000000,1743854283767000000,0.0
FilePageCacheLockFree.housekeeperTurnsSkipped,1743854223712000000,1743854283767000000,18495
FilePageCacheLockFree.totalNativeBytesReclaimed,1743854223712000000,1743854283767000000,0
FilePageCache.maxRegisteredFiles,1743854223712000000,1743854283767000000,536
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743854223712000000,1743854283767000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1743854223712000000,1743854283767000000,1525
DirectByteBufferAllocator.misses,1743854223712000000,1743854283767000000,224
FilePageCacheLockFree.totalPagesWritten,1743854223712000000,1743854283767000000,3
DirectByteBufferAllocator.hits,1743854223712000000,1743854283767000000,3
StreamlinedBlobStorage.recordsAllocated,1743854223712000000,1743854283767000000,2647
FilePageCacheLockFree.totalPagesHandedOver,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1743854223712000000,1743854283767000000,24576
FilePageCacheLockFree.totalBytesWritten,1743854223712000000,1743854283767000000,6150
FilePageCache.pageHits,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1743854223712000000,1743854283767000000,10
FilePageCacheLockFree.totalPagesReclaimed,1743854223712000000,1743854283767000000,0
FilePageCacheLockFree.totalBytesRequested,1743854223712000000,1743854283767000000,532480
AWTEventQueue.dispatchTime90PNs,1743854223712000000,1743854283767000000,0
NonBlockingReadAction.failedExecutionsCount,1743854223712000000,1743854283767000000,7
AWTEventQueue.eventsDispatched,1743854223712000000,1743854283767000000,0
FlushQueue.executionTimeMaxNs,1743854223712000000,1743854283767000000,0
NonBlockingReadAction.finalizedExecutionsCount,1743854223712000000,1743854283767000000,81
ReadAction.executionsCount,1743854223712000000,1743854283767000000,20880
AWTEventQueue.dispatchTimeTotalNS,1743854223712000000,1743854283767000000,7715311800
FlushQueue.waitingTimeMaxNs,1743854223712000000,1743854283767000000,0
FlushQueue.executionTimeAvgNs,1743854223712000000,1743854283767000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1743854223712000000,1743854283767000000,0
WriteAction.executionsCount,1743854223712000000,1743854283767000000,31
FlushQueue.waitingTime90PNs,1743854223712000000,1743854283767000000,0
NonBlockingReadAction.failedExecutionTimeUs,1743854223712000000,1743854283767000000,1219510
FlushQueue.queueSizeAvg,1743854223712000000,1743854283767000000,0.0
FlushQueue.queueSize90P,1743854223712000000,1743854283767000000,0
FlushQueue.executionTime90PNs,1743854223712000000,1743854283767000000,0
FlushQueue.waitingTimeAvgNs,1743854223712000000,1743854283767000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1743854223712000000,1743854283767000000,1467966
AWTEventQueue.dispatchTimeAvgNs,1743854223712000000,1743854283767000000,0.0
FlushQueue.tasksExecuted,1743854223712000000,1743854283767000000,0
FlushQueue.queueSizeMax,1743854223712000000,1743854283767000000,0
JVM.GC.collectionTimesMs,1743854223712000000,1743854283767000000,140
JVM.usedHeapBytes,1743854223712000000,1743854283767000000,274345176
JVM.maxHeapBytes,1743854223712000000,1743854283767000000,2147483648
JVM.maxNativeBytes,1743854223712000000,1743854283767000000,-1
JVM.GC.collections,1743854223712000000,1743854283767000000,17
JVM.totalCpuTimeMs,1743854223712000000,1743854283767000000,52828
JVM.threadCount,1743854223712000000,1743854283767000000,164
OS.loadAverage,1743854223712000000,1743854283767000000,-1.0
JVM.usedNativeBytes,1743854223712000000,1743854283767000000,353434832
JVM.totalBytesAllocated,1743854223712000000,1743854283767000000,1615371776
